parl_const,parl_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4
E14001179,Corby And East Northamptonshire,53663,52041,1741,,1511,0.26,0.66,7.23,91.85,8.67,7.88,24.61,58.84,3.2,5.39,18.54,72.86,8.04,12.35,31.82,47.79,,,,,7.81,11.52,31.3,49.37,0.01,4.88,95.11,,,0.63,23.81,75.56,,,0.04,15.08,84.88,,,0.69,41.53,57.78,,,,,,,,0.73,38.78,60.49,,,,0.04,0.26,1.16,98.53,0.87,1.19,7.62,11.17,79.14,0.13,0.64,1.79,4.75,92.69,0.34,1.84,6.72,17.92,73.18,,,,,,0.4,1.79,6.62,17.67,73.53,,0.01,0.12,0.72,99.15,0.37,0.63,2.26,11.17,85.56,0.01,0.17,0.91,3.85,95.05,0.11,0.75,2.93,14.01,82.19,,,,,,0.13,0.86,2.98,12.77,83.26,,,,,100,,0.04,0.25,0.82,98.9,,,,0.15,99.85,,,0.06,0.69,99.25,,,,,,,,0.07,0.73,99.21,10.49,7.54,11.48,29.54,40.96,40.02,25.53,16.42,12.69,5.34,14.94,15.3,25.85,29.11,14.8,56.94,21.69,14.53,5.52,1.32
E14001180,Coventry East,52450,2806,418,50,228,,,0.37,99.63,,0.13,12.47,87.4,,,1.46,98.54,,0.96,12.68,86.36,,4,42,54,,1.32,21.05,77.63,,,100,,,,3.88,96.12,,,,0.14,99.86,,,,4.55,95.45,,,,8,92,,,,7.02,92.98,,,,,,,100,,,0.1,0.66,99.24,,,,0.04,99.96,,,0.24,2.63,97.13,,,2,18,80,,,0.44,7.46,92.11,,,,,100,,,0.03,0.21,99.77,,,,,100,,,,0.96,99.04,,,,14,86,,,,4.39,95.61,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,0,5.63,26.58,67.79,,0.11,6.45,31.11,62.33,0.03,4.95,41.74,32.35,20.92,0.07,5.31,43.83,30.08,20.71
E14001181,Coventry North West,48665,3835,356,,135,,,0.38,99.62,0.01,0.29,12,87.71,,,3.29,96.71,,1.12,20.51,78.37,,,,,,0.74,9.63,89.63,,1.02,98.98,,,,7.31,92.69,,,,4.46,95.54,,,,12.08,87.92,,,,,,,,,3.7,96.3,,,,,,0.17,99.83,0,0.04,1.42,9.44,89.1,,,,0.86,99.14,,0.56,4.21,14.89,80.34,,,,,,,1.48,3.7,22.96,71.85,,,,0.06,99.94,,,0.37,3.86,95.77,,,,0.52,99.48,,,2.25,5.06,92.7,,,,,,,,1.48,3.7,94.81,,,,,100,,,,0.11,99.89,,,,,100,,,,1.4,98.6,,,,,,,,,,100,,0.22,12.15,19.28,68.34,,2.03,12.44,40.94,44.59,0.38,5.57,29.56,46.88,17.61,1.98,14.47,34.45,38.83,10.27
E14001182,Coventry South,51884,3222,535,,352,,,,100,0.03,0.21,8.04,91.72,,,0.16,99.84,,0.75,8.41,90.84,,,,,,1.14,9.09,89.77,,0.01,99.99,,,,1.44,98.56,,,,0.03,99.97,,,,3.18,96.82,,,,,,,,,3.41,96.59,,,,,,,100,,,,1.6,98.4,,,,0.03,99.97,,,,2.8,97.2,,,,,,,,,4.26,95.74,,,,,100,,,,0.08,99.92,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,1.67,24.5,73.82,,0.03,2.08,25.7,72.19,,1.5,26.98,49.95,21.58,0.03,2.39,23.65,48.14,25.79
E14001183,Cramlington And Killingworth,48405,9763,1191,,853,,0.32,1.34,98.34,0.99,5.36,29.6,64.05,0.02,0.15,3.4,96.43,1.01,6.47,27.71,64.82,,,,,1.17,7.03,26.85,64.95,,0.45,99.55,,,0.18,21.43,78.38,,,,1.08,98.92,,,,21.07,78.93,,,,,,,,,18.29,81.71,,,,,,0.54,99.46,,0.86,2.06,18.96,78.11,,,0.02,0.7,99.28,,1.01,1.76,16.79,80.44,,,,,,,1.41,2.34,19.11,77.14,,,,0.07,99.93,,0.19,0.64,7.38,91.8,,,0.01,0.3,99.69,,0.08,0.76,6.13,93.03,,,,,,,0.12,1.06,6.92,91.91,,,,,100,,,,0.32,99.68,,,,,100,,,,0.25,99.75,,,,,,,,,0.23,99.77,,2.1,18.55,34.22,45.13,0.05,1.79,13.62,42.8,41.73,0.52,16.04,37.21,33.87,12.37,0.72,16.95,36.67,34.76,10.9
E14001184,Crawley,50149,4503,506,134,539,,,1.65,98.35,0.02,0.58,14.29,85.11,,,8.95,91.05,,2.17,21.54,76.28,,,55.97,44.03,,0.37,23.56,76.07,,0.06,99.94,,,,8.24,91.76,,,,0.8,99.2,,,,8.89,91.11,,,,25.37,74.63,,,,10.58,89.42,,,,,,0.04,99.96,,0.01,0.38,1.72,97.88,,,,0.16,99.84,,0.2,0.79,5.73,93.28,,,4.48,20.15,75.37,,,1.11,8.35,90.54,,,,0.04,99.96,,,0.06,1.46,98.48,,,,0.16,99.84,,,0.4,5.73,93.87,,,3.73,17.16,79.1,,,0.93,7.42,91.65,,,,,100,,,,0.04,99.96,,,,,100,,,,,100,,,,,100,,,,,100,,0.16,4.97,79.84,15.04,,0.76,11.17,69.07,19.01,1.6,7.73,38.48,48.35,3.84,4.37,9.39,30.4,46.9,8.93
E14001185,Crewe And Nantwich,54026,8661,943,50,686,,0.02,4.56,95.42,0.23,1.4,32.25,66.12,0.05,0.48,8.68,90.79,0.64,2.44,40.72,56.2,,,2,98,0.15,0.73,41.84,57.29,,16.96,83.04,,,,62.29,37.71,,,,14.76,85.24,,,,61.82,38.18,,,,40,60,,,,59.33,40.67,,,,,,0.07,99.93,,0.49,0.52,7.4,91.59,,,0.03,0.58,99.39,,0.21,1.48,13.26,85.05,,,,,100,,0.15,0.87,11.95,87.03,,,,0.02,99.98,,,0.36,4.09,95.56,,,0.01,0.37,99.62,,,0.53,8.48,90.99,,,,,100,,,0.58,7.29,92.13,,,,,100,,,,0.02,99.98,,,,,100,,,,,100,,,,,100,,,,,100,9.77,20.56,65.6,4.07,,4.51,27.92,50.28,17.28,,17.11,49.59,33.25,0.05,,14.18,53.78,29.64,2.4,
E14001186,Croydon East,46663,2686,247,,220,,0.28,3.42,96.31,1.21,2.77,28.78,67.24,,1.68,10.31,88.01,0.4,3.24,25.1,71.26,,,,,0.45,3.18,23.18,73.18,,0.08,99.92,,,0.01,3.99,96,,,,1.08,98.92,,,,2.02,97.98,,,,,,,,,2.27,97.73,,,,,,0.17,99.83,,0.13,0.88,2.72,96.27,,,,1.9,98.1,,,,1.62,98.38,,,,,,,,,1.82,98.18,,,,0.14,99.86,,0.02,0.33,1.45,98.2,,,,1.53,98.47,,,,0.81,99.19,,,,,,,,,0.91,99.09,,,,,100,,,,0.17,99.83,,,,,100,,,,,100,,,,,,,,,,100,0.03,0.69,3.62,25.26,70.4,0.11,1.75,7,31.31,59.83,2.01,2.94,18.39,34.23,42.44,5.06,8.41,21.82,34.96,29.75
E14001187,Croydon South,45431,3745,548,,331,,0.05,1.65,98.3,0.41,5.16,22.42,72.01,,0.88,7.1,92.02,0.18,7.3,20.99,71.53,,,,,0.3,7.55,14.2,77.95,,,100,,,0.07,7.71,92.22,,,,0.05,99.95,,,,7.48,92.52,,,,,,,,,3.63,96.37,,,,,,0.62,99.38,,,0.55,6.46,92.99,,,0.13,2.32,97.54,,,0.55,5.47,93.98,,,,,,,,0.6,3.02,96.37,,,,0.17,99.83,,,0.17,4.11,95.72,,,0.05,1.42,98.53,,,,3.65,96.35,,,,,,,,,1.81,98.19,,,,,100,,,,0.6,99.4,,,,0.03,99.97,,,,0.36,99.64,,,,,,,,,,100,0.12,3.27,20.3,31.04,45.26,0.19,3.6,19.84,39.52,36.85,3.71,14.68,36.71,25.65,19.25,6.68,18.53,38.08,23.95,12.76
E14001188,Croydon West,57470,1430,332,,291,,,3.74,96.26,,0.09,24.53,75.38,,,2.87,97.13,,,17.77,82.23,,,,,,,19.93,80.07,,,100,,,,2.56,97.44,,,,,100,,,,2.71,97.29,,,,,,,,,3.09,96.91,,,,,,,100,,,,0.09,99.91,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,0.09,99.91,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,6.06,93.94,,,,3.85,96.15,,,4.73,40.99,54.28,,,3.5,47.9,48.6
E14001189,Dagenham And Rainham,48566,3940,446,,385,,,0.73,99.27,,0.6,13.33,86.07,,0.03,7.92,92.06,,1.79,17.04,81.17,,,,,,2.08,16.62,81.3,,0.04,99.96,,,,12.34,87.66,,,,1.37,98.63,,,,17.71,82.29,,,,,,,,,18.18,81.82,,,,,,,100,,0.01,0.02,1.1,98.87,,,,0.15,99.85,,,0.22,0.9,98.88,,,,,,,,0.26,1.04,98.7,,,,,100,,,0.03,0.2,99.77,,,,0.13,99.87,,,,0.9,99.1,,,,,,,,,1.04,98.96,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,0.21,16.55,83.24,,0.03,0.48,27.59,71.9,,0,1.48,60.42,38.09,,0.76,5.23,60.2,33.81
E14001190,Darlington,50987,11362,851,126,655,,0.01,1.63,98.36,0.22,1.29,36.76,61.73,,0.19,4.42,95.39,2.94,5.41,30.9,60.75,,,2.38,97.62,,2.14,24.43,73.44,,0.36,99.64,,,0.01,9.13,90.87,,,,6.04,93.96,,,,28.91,71.09,,,,7.94,92.06,,,,20.31,79.69,,,,,,0.02,99.98,,0.02,2.74,6.2,91.03,,,,0.29,99.71,,0.82,4.7,12.34,82.14,,,,1.59,98.41,,,1.53,12.52,85.95,,,,,100,,,0.47,5.03,94.5,,,,0.18,99.82,,,1.76,11.75,86.49,,,,,100,,,0.46,8.7,90.84,,,,,100,,,,0.02,99.98,,,,,100,,,,,100,,,,,100,,,,,100,0.25,4.88,44.58,43.98,6.31,3.72,12.41,31.62,40.57,11.67,1.89,28.84,42.6,26.22,0.44,16.88,29.26,32.2,19.93,1.73
E14001191,Dartford,49111,6245,899,15,610,,0.02,0.7,99.28,1.08,3.68,19.42,75.83,0.21,0.74,3.38,95.68,0.22,4.56,21.91,73.3,,,33.33,66.67,0.33,4.43,21.64,73.61,,0.09,99.91,,,,7,93,,,,0.42,99.58,,,,4.78,95.22,,,,,100,,,,4.75,95.25,,,,,,,100,,0.05,0.13,3.32,96.51,,,0.02,0.58,99.41,,,0.22,5.78,93.99,,,,20,80,,,0.33,5.57,94.1,,,,,100,,,0.07,1.57,98.36,,,,0.45,99.55,,,,3.56,96.44,,,,20,80,,,,4.43,95.57,,,,,100,,,,,100,,,,,100,,,,0.11,99.89,,,,,100,,,,0.16,99.84,0.08,1.64,10.81,18.37,69.1,0.06,1.99,12.7,27.67,57.58,7.66,10.54,13.58,35.25,32.97,6.73,12.23,15.47,34.22,31.35
E14001192,Daventry,48883,77573,2766,369,2729,0.05,1.18,13.65,85.11,3.75,14.98,34.19,47.08,0.57,2.82,12.73,83.87,1.45,8.89,29.46,60.2,,0.27,15.45,84.28,1.39,8.21,27.08,63.32,,7.97,92.03,,,0.3,33.16,66.53,,,,10.31,89.69,,,0.11,34.2,65.69,,,,11.38,88.62,,,0.11,31.7,68.19,,,,0.06,0.4,2.27,97.27,1.04,4.3,8.65,15.61,70.41,0.01,0.11,0.75,3.78,95.34,0.47,1.45,6.4,12.51,79.18,,,,1.9,98.1,0.48,1.21,5.79,11.14,81.39,,0.02,0.08,2,97.9,0.09,2.17,5.91,17.83,74.01,,0.02,0.26,3.12,96.6,,0.94,3.98,12.8,82.28,,,,1.36,98.64,,0.88,3.3,11.65,84.17,,,,0.03,99.97,,0.02,0.27,2.23,97.48,,,,0.04,99.96,,0.04,0.11,1.27,98.59,,,,,100,,0.04,0.11,1.21,98.64,7.07,13.16,47.98,18.91,12.89,11.31,22.83,38.07,17.86,9.93,17.94,21.22,48.64,10.27,1.93,25.21,32.82,31.44,8.72,1.81
E14001193,Derby North,49475,2949,427,,369,,,,100,0.02,0.09,10.34,89.55,,,,100,,0.23,14.99,84.78,,,,,,0.27,17.07,82.66,,83.75,16.25,,,,92.71,7.29,,,,81.32,18.68,,,,85.71,14.29,,,,,,,,,89.16,10.84,,,,,,,100,,,,0.01,99.99,,,,,100,,,,0.23,99.77,,,,,,,,,0.27,99.73,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,0.06,10.85,89.09,,,0.1,9.49,90.4,,1.16,18.35,42.29,38.2,,0.58,13.84,41.98,43.61
E14001194,Derby South,54106,3119,328,,322,,,0.02,99.98,,,11.82,88.18,,,0.03,99.97,,,9.76,90.24,,,,,,,9.63,90.37,,87.76,12.24,,,,94.91,5.09,,,,85.03,14.97,,,,94.82,5.18,,,,,,,,,94.72,5.28,,,,,,,100,,,,0.12,99.88,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,0.03,0.43,4.35,95.19,,0.03,0.45,4.49,95.03,,1.42,14.06,42,42.52,,1.7,16.22,43.51,38.57
E14001195,Derbyshire Dales,47601,90767,4424,,2595,1.26,3.92,12.19,82.63,8.95,15,24.72,51.33,4.26,8.5,19,68.23,19.82,20.73,25.34,34.11,,,,,15.99,18.73,25.28,40,0.32,48.94,50.75,,,2.6,67.54,29.86,,,0.58,48,51.42,,,6.92,66.86,26.22,,,,,,,,4.93,65.36,29.71,,,0.52,0.34,1.44,4.31,93.39,2.42,3.77,7.83,14.72,71.26,0.5,1.86,3.5,8.02,86.11,5,8.3,14.94,19.62,52.15,,,,,,3.58,6.17,14.45,18.34,57.46,0.02,0.61,0.87,4.41,94.08,1.18,2.68,5.51,15.17,75.46,0.08,0.78,2.4,8.88,87.87,1.85,6.06,12.45,23.4,56.24,,,,,,0.54,4.78,10.91,21.5,62.27,,,0.09,0.74,99.18,0.52,0.29,1.42,4.3,93.47,,0.01,0.14,0.87,98.98,0.25,1.85,4.34,8.77,84.79,,,,,,,1.31,2.58,5.86,90.25,14.92,14.02,46.9,22.65,1.51,17.42,25.45,41.79,12.77,2.56,22.42,19.04,48.23,10.29,0.02,30.85,34.22,31.4,3.48,0.06
E14001196,Dewsbury And Batley,42973,5301,598,,340,0.01,0.03,0.46,99.5,0.36,2.54,26.02,71.09,0.55,1.09,2.58,95.77,0.33,3.85,26.09,69.73,,,,,0.59,4.12,24.71,70.59,,0.84,99.16,,,0.01,5.44,94.55,,,,4.77,95.23,,,,10.87,89.13,,,,,,,,,7.94,92.06,,,0,0.01,0,0,99.98,0.04,0.04,0.32,4.97,94.63,0.04,0.28,0.15,0.77,98.75,,0.17,0.5,5.85,93.48,,,,,,,,0.29,2.65,97.06,,,0.01,0,99.99,0.01,0.03,0.24,3.58,96.14,,0.02,0.32,0.3,99.36,,,0.33,3.68,95.99,,,,,,,,,2.06,97.94,,,,,100,0,0.01,0,0,99.98,,,,,100,,,,,100,,,,,,,,,,100,1.13,1.42,12.31,30.02,55.12,2.6,3.94,12.22,29.37,51.86,2.68,12.59,31.72,33.55,19.45,8.87,14.09,32.43,28.26,16.36
E14001197,Didcot And Wantage,51281,40958,2111,,1365,,0.12,6.26,93.62,2.55,5.7,35.79,55.95,0.54,1.11,8.67,89.68,1.8,5.64,27.38,65.18,,,,,1.17,5.13,24.47,69.23,,6.3,93.7,,,0.03,34.54,65.43,,,,5.86,94.14,,,,29.42,70.58,,,,,,,,,24.54,75.46,,,,0.01,0.04,0.56,99.39,0.28,0.84,3.84,19.75,75.29,0.02,0.15,0.41,1.7,97.72,0.24,0.99,2.27,13.93,82.57,,,,,,0.15,0.66,1.39,11.43,86.37,,,0.04,0.27,99.7,0.01,0.26,1.51,6.75,91.47,,0.02,0.28,1.38,98.31,,0.33,0.95,8.72,90,,,,,,,0.22,0.66,5.57,93.55,,,,0.01,99.99,,0.01,0.04,0.32,99.64,,,,0.03,99.97,,,,0.52,99.48,,,,,,,,,0.22,99.78,21.76,40.03,13.64,24.27,0.29,22.48,33.6,27.11,15.01,1.81,53.3,19.39,13.14,14.17,0,48.48,31.53,16.01,3.7,0.28
E14001198,Doncaster Central,57253,11478,786,296,912,0.11,0.27,3.87,95.75,1.94,4.93,28.92,64.22,1.3,2.13,7.47,89.1,4.07,10.81,28.75,56.36,2.7,9.8,38.85,48.65,1.54,6.8,31.03,60.64,,0.78,99.22,,,0.08,14.92,85,,,0.05,7.61,92.34,,,0.13,24.68,75.19,,,,18.58,81.42,,,,17.21,82.79,,,,,,0.08,99.92,0.07,0.14,1.34,8.03,90.42,0.02,0.17,0.5,1.52,97.8,,0.89,3.94,10.69,84.48,,,2.03,14.19,83.78,,,0.99,8.66,90.35,,,,0.07,99.93,0.05,0.05,0.18,4.24,95.48,,0.02,0.3,1.28,98.41,,,0.89,11.83,87.28,,,,7.77,92.23,,,,5.81,94.19,,,,,100,,,,0.08,99.92,,,,0.01,99.99,,,,0.64,99.36,,,,,100,,,,,100,0.58,8.29,15.48,23.9,51.75,0.17,15.38,30.38,28.03,26.04,7.97,17.89,23.71,32.77,17.66,4.43,32.47,32.14,23.89,7.07
E14001199,Doncaster East And The Isle Of Axholme,44254,41734,1548,445,1597,,0.3,11.53,88.18,2.92,9.99,39.77,47.32,0.13,1.33,12.77,85.77,4.52,11.18,39.41,44.9,,1.8,27.87,70.34,2.88,6.57,34.63,55.92,,5.38,94.62,,,,28.24,71.76,,,,2.83,97.17,,,,36.11,63.89,,,,18.65,81.35,,,,28.05,71.95,,,,,0.12,1.23,98.66,0.29,0.81,4.49,20.05,74.35,,0.09,0.19,2.31,97.4,0.19,1.81,4.33,23.64,70.03,,,0.67,11.46,87.87,0.13,1.19,2.63,18.85,77.21,,,0.12,0.55,99.34,,0.47,2.58,14.82,82.14,,,0.18,2.24,97.58,,0.45,3.04,20.54,75.97,,,0.67,6.07,93.26,,0.25,2.07,14.21,83.47,,,,,100,,,0.12,0.99,98.9,,,,0.02,99.98,,,0.13,0.58,99.29,,,,,100,,,0.13,0.56,99.31,12.42,22.12,44.03,19.44,1.99,20.82,27.74,32.1,16.77,2.57,28.87,40.79,20.47,9.87,,49.21,28.94,18.22,3.63,0
E14001200,Doncaster North,47371,23727,761,142,668,,0.21,2.5,97.29,1.83,8.03,28.15,61.99,0.03,1.68,9.28,89.01,0.66,5.12,25.1,69.12,,1.41,31.69,66.9,0.6,3.44,25.15,70.81,,12.36,87.64,,,,32.28,67.72,,,,9.47,90.53,,,,29.43,70.57,,,,7.75,92.25,,,,22.31,77.69,,,,,0,0.4,99.6,0.31,0.28,3.95,9.59,85.87,,,0.03,1.4,98.57,,,3.94,7.88,88.17,,,1.41,17.61,80.99,,,1.05,9.43,89.52,,,0,0.39,99.61,,0.37,1.75,7.88,89.99,,,0.02,1.31,98.68,,,3.68,5.12,91.2,,,1.41,16.2,82.39,,,0.75,6.59,92.66,,,,,100,,,0,0.4,99.6,,,,,100,,,0.53,1.71,97.77,,,,,100,,,,,100,0.43,8.68,23.74,26.54,40.61,4.19,28.79,34.45,17.38,15.19,3.97,23.34,32.85,17.48,22.36,20.23,41.9,24.12,8.83,4.92
E14001201,Dorking And Horley,42653,28066,1097,49,825,0.2,0.97,5.85,92.98,4.37,5.94,25.29,64.4,4.55,8.17,23.12,64.16,9.75,8.75,31.27,50.23,,,46.94,53.06,1.58,4.12,34.3,60,,2.34,97.66,,,0.17,12.02,87.81,,,0.04,10.89,89.07,,,0.27,27.44,72.29,,,,8.16,91.84,,,,16.12,83.88,,,0.03,0.12,0.44,2.43,96.97,1.33,1.81,4.79,19.14,72.93,0.8,1.98,3.78,8.19,85.25,4.92,4.65,12.31,15.68,62.44,,,,34.69,65.31,0.12,0.24,7.15,18.42,74.06,,0.03,0.3,1.09,98.58,0.11,1.58,3.19,6.56,88.56,0.01,0.55,2.7,8.95,87.79,0.18,5.38,10.3,15.59,68.55,,,,20.41,79.59,,0.12,3.76,13.94,82.18,,,,0.04,99.96,0.02,0.11,0.39,2.35,97.13,,,0.04,0.61,99.35,0.09,,1.46,6.38,92.07,,,,2.04,97.96,,,0.24,1.45,98.3,24.64,31.49,9.78,32.41,1.67,44.35,26.82,12.49,13.59,2.75,50.54,20.82,15,12.89,0.75,71.35,13.96,8.91,4.68,1.1
E14001202,Dover And Deal,50532,23047,1025,,879,0.01,0.6,7.15,92.24,0.94,5.39,28.07,65.59,0.08,1.58,15.31,83.03,0.1,4.39,25.17,70.34,,,,,0.11,3.98,24,71.9,0,5.33,94.67,,,0.11,23.29,76.6,,,0.01,12.57,87.42,,,,27.02,72.98,,,,,,,,,28.21,71.79,,,0.01,0.02,0.28,0.75,98.94,0.31,0.84,3.94,16.3,78.6,0.05,0.11,0.48,2.43,96.93,,,2.34,10.93,86.73,,,,,,,,1.82,10.35,87.83,,0.01,0.11,0.86,99.02,0.07,0.58,2.88,15.87,80.6,,0.07,0.35,2.46,97.13,,,1.76,10.54,87.71,,,,,,,,1.37,10.13,88.51,,,,0.02,99.98,0.01,0.01,0.27,0.78,98.94,,,0,0.15,99.85,,,,0.88,99.12,,,,,,,,,1.02,98.98,6.87,12.68,22.66,57.71,0.08,21.33,28.35,30.56,19.67,0.08,9.86,21.77,44.34,24.03,,34.16,31.79,27.56,6.49,
E14001203,Droitwich And Evesham,49948,40143,2124,169,1514,0.03,0.98,11.75,87.24,7.7,10.23,31.36,50.7,0.28,1.13,14.26,84.33,7.82,14.88,33.85,43.46,,0.59,33.14,66.27,5.02,10.7,36.2,48.08,,10.95,89.05,,,0.13,45.33,54.55,,,,7.76,92.24,,,0.09,44.54,55.37,,,,69.82,30.18,,,0.13,47.29,52.58,,,,,0.05,0.71,99.24,0.93,2.93,6.39,13.42,76.33,,0.06,0.26,1.79,97.88,1.04,2.87,8.95,19.96,67.18,,,0.59,7.69,91.72,0.86,3.1,6.87,17.11,72.06,,,0.02,0.21,99.77,0.01,0.99,4.31,10.53,84.16,,0,0.1,0.77,99.13,,1.18,4.24,15.91,78.67,,,,5.33,94.67,,0.99,4.69,12.75,81.57,,,,0,100,,,0.02,0.41,99.58,,,,0.01,99.99,,,0.05,0.24,99.72,,,,,100,,,,0.26,99.74,7.23,33.66,34.16,24.95,,4.95,34.1,48.03,12.91,0.01,18.03,56.45,21.29,4.23,,20.01,60.44,18.5,1.06,
E14001204,Dudley,45035,2819,493,,295,,0.02,2.35,97.63,0.19,4.19,24.5,71.13,0.04,0.21,5.6,94.15,0.2,0.41,23.73,75.66,,,,,0.34,0.68,28.81,70.17,,0.23,99.77,,,,10.76,89.24,,,,0.43,99.57,,,,14,86,,,,,,,,,11.19,88.81,,,,,,,100,,,0.1,2.8,97.1,,,,0.57,99.43,,,,1.42,98.58,,,,,,,,,1.69,98.31,,,,,100,,,,0.55,99.45,,,,0.04,99.96,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,0.13,4.14,95.73,,,0.14,5.57,94.29,,1.68,11.3,39.75,47.27,0.21,2.48,11,37.78,48.53
E14001205,Dulwich And West Norwood,50232,1456,319,,274,,,0.58,99.42,0.22,2.28,15.71,81.79,,0.27,2.06,97.66,0.31,4.7,13.48,81.5,,,,,0.36,5.47,14.96,79.2,,0.1,99.9,,,,9.61,90.39,,,,0.14,99.86,,,,9.09,90.91,,,,,,,,,10.22,89.78,,,,,,,100,,,0.05,0.08,99.87,,,,0.21,99.79,,,,,100,,,,,,,,,,100,,,,,100,,,,0.05,99.95,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,0.02,5.27,94.72,,,0.21,6.59,93.2,,0.77,1.84,21.61,75.79,,0.89,2.4,19.78,76.92
